Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,444.000000,470.000000,438.000000,462.000000,462.000000,72684000
2019-04-16,462.000000,540.000000,462.000000,525.000000,525.000000,176153800
2019-04-17,525.000000,525.000000,525.000000,525.000000,525.000000,0
2019-04-18,525.000000,560.000000,498.000000,500.000000,500.000000,83536400
2019-04-19,500.000000,500.000000,500.000000,500.000000,500.000000,0
2019-04-22,500.000000,515.000000,478.000000,478.000000,478.000000,33468400
2019-04-23,478.000000,505.000000,470.000000,505.000000,505.000000,79425800
2019-04-24,505.000000,515.000000,494.000000,500.000000,500.000000,36891100
2019-04-25,500.000000,500.000000,462.000000,462.000000,462.000000,53973800
2019-04-26,460.000000,474.000000,446.000000,470.000000,470.000000,36984300
2019-04-29,470.000000,480.000000,466.000000,470.000000,470.000000,25141300
2019-04-30,470.000000,476.000000,462.000000,466.000000,466.000000,17399100
2019-05-01,466.000000,466.000000,466.000000,466.000000,466.000000,0
2019-05-02,464.000000,466.000000,446.000000,448.000000,448.000000,34284400
2019-05-03,448.000000,454.000000,426.000000,430.000000,430.000000,34833100
2019-05-06,426.000000,426.000000,412.000000,420.000000,420.000000,28908200
2019-05-07,420.000000,428.000000,386.000000,386.000000,386.000000,50987900
2019-05-08,386.000000,408.000000,384.000000,394.000000,394.000000,42764700
2019-05-09,400.000000,422.000000,396.000000,412.000000,412.000000,81876000
2019-05-10,412.000000,436.000000,412.000000,432.000000,432.000000,78342200
2019-05-13,430.000000,442.000000,402.000000,410.000000,410.000000,32946100
2019-05-14,410.000000,410.000000,386.000000,398.000000,398.000000,43631600
2019-05-15,400.000000,418.000000,400.000000,412.000000,412.000000,33683800
2019-05-16,412.000000,420.000000,408.000000,412.000000,412.000000,16259400
2019-05-17,412.000000,436.000000,410.000000,432.000000,432.000000,37224800
2019-05-20,432.000000,440.000000,418.000000,430.000000,430.000000,18736800
2019-05-21,430.000000,434.000000,410.000000,416.000000,416.000000,13835200
2019-05-22,414.000000,420.000000,402.000000,412.000000,412.000000,6974400
2019-05-23,412.000000,424.000000,408.000000,410.000000,410.000000,12491600
2019-05-24,412.000000,438.000000,412.000000,436.000000,436.000000,38651700
2019-05-27,438.000000,454.000000,436.000000,452.000000,452.000000,44249200
2019-05-28,452.000000,460.000000,438.000000,454.000000,454.000000,24125700
2019-05-29,448.000000,450.000000,436.000000,444.000000,444.000000,18069100
2019-05-30,444.000000,444.000000,444.000000,444.000000,444.000000,0
2019-05-31,442.000000,450.000000,430.000000,432.000000,432.000000,23381500
2019-06-03,432.000000,432.000000,432.000000,432.000000,432.000000,0
2019-06-04,432.000000,432.000000,432.000000,432.000000,432.000000,0
2019-06-05,432.000000,432.000000,432.000000,432.000000,432.000000,0
2019-06-06,432.000000,432.000000,432.000000,432.000000,432.000000,0
2019-06-07,432.000000,432.000000,432.000000,432.000000,432.000000,0
2019-06-10,432.000000,442.000000,422.000000,428.000000,428.000000,33252600
2019-06-11,430.000000,438.000000,414.000000,420.000000,420.000000,33340100
2019-06-12,422.000000,438.000000,416.000000,428.000000,428.000000,32471600
2019-06-13,428.000000,442.000000,426.000000,430.000000,430.000000,37330100
2019-06-14,432.000000,434.000000,424.000000,428.000000,428.000000,12745000
2019-06-17,428.000000,430.000000,400.000000,406.000000,406.000000,25916900
2019-06-18,406.000000,418.000000,394.000000,400.000000,400.000000,40969600
2019-06-19,null,null,null,null,null,null
2019-06-20,410.000000,414.000000,406.000000,406.000000,406.000000,14413600
2019-06-21,408.000000,412.000000,394.000000,398.000000,398.000000,24709600
2019-06-24,400.000000,404.000000,394.000000,398.000000,398.000000,15810500
2019-06-25,396.000000,404.000000,392.000000,396.000000,396.000000,17387100
2019-06-26,396.000000,400.000000,388.000000,392.000000,392.000000,14738800
2019-06-27,390.000000,406.000000,390.000000,396.000000,396.000000,28930300
2019-06-28,400.000000,400.000000,366.000000,366.000000,366.000000,68373700
2019-07-01,366.000000,402.000000,358.000000,386.000000,386.000000,68793900
2019-07-02,386.000000,392.000000,374.000000,378.000000,378.000000,31252500
2019-07-03,378.000000,390.000000,378.000000,380.000000,380.000000,12398900
2019-07-04,382.000000,404.000000,380.000000,404.000000,404.000000,68864000
2019-07-05,406.000000,410.000000,402.000000,402.000000,402.000000,33431200
2019-07-08,402.000000,436.000000,392.000000,436.000000,436.000000,101961500
2019-07-09,436.000000,444.000000,422.000000,434.000000,434.000000,64929000
2019-07-10,434.000000,434.000000,416.000000,418.000000,418.000000,37321100
2019-07-11,418.000000,424.000000,408.000000,412.000000,412.000000,15121200
2019-07-12,410.000000,424.000000,410.000000,410.000000,410.000000,21361700
2019-07-15,410.000000,426.000000,410.000000,420.000000,420.000000,25188000
2019-07-16,420.000000,426.000000,418.000000,422.000000,422.000000,10365600
2019-07-17,422.000000,424.000000,410.000000,410.000000,410.000000,13748200
2019-07-18,412.000000,412.000000,402.000000,402.000000,402.000000,12264700
2019-07-19,402.000000,412.000000,402.000000,404.000000,404.000000,13744600
2019-07-22,404.000000,414.000000,400.000000,400.000000,400.000000,10223200
2019-07-23,400.000000,404.000000,390.000000,390.000000,390.000000,15937900
2019-07-24,390.000000,396.000000,388.000000,388.000000,388.000000,9030200
2019-07-25,390.000000,398.000000,390.000000,396.000000,396.000000,7511800
2019-07-26,398.000000,398.000000,388.000000,390.000000,390.000000,7679300
2019-07-29,392.000000,412.000000,392.000000,410.000000,410.000000,32003000
2019-07-30,414.000000,416.000000,398.000000,404.000000,404.000000,16724800
2019-07-31,404.000000,406.000000,398.000000,400.000000,400.000000,7011300
2019-08-01,400.000000,404.000000,390.000000,394.000000,394.000000,9310000
2019-08-02,394.000000,396.000000,388.000000,390.000000,390.000000,7971300
2019-08-05,390.000000,392.000000,374.000000,378.000000,378.000000,7718100
2019-08-06,378.000000,384.000000,356.000000,382.000000,382.000000,13046600
2019-08-07,382.000000,430.000000,382.000000,430.000000,430.000000,78131500
2019-08-08,434.000000,530.000000,428.000000,505.000000,505.000000,250191300
2019-08-09,510.000000,515.000000,472.000000,476.000000,476.000000,69245000
2019-08-12,476.000000,505.000000,468.000000,484.000000,484.000000,54372900
2019-08-13,486.000000,515.000000,476.000000,510.000000,510.000000,99481700
2019-08-14,515.000000,555.000000,510.000000,525.000000,525.000000,125548600
2019-08-15,500.000000,525.000000,496.000000,520.000000,520.000000,67233100
2019-08-16,520.000000,550.000000,510.000000,535.000000,535.000000,47829000
2019-08-19,535.000000,550.000000,500.000000,505.000000,505.000000,25340000
2019-08-20,505.000000,515.000000,498.000000,505.000000,505.000000,17831800
2019-08-21,510.000000,520.000000,500.000000,500.000000,500.000000,8721900
2019-08-22,498.000000,505.000000,498.000000,498.000000,498.000000,6821900
2019-08-23,498.000000,505.000000,482.000000,498.000000,498.000000,17635400
2019-08-26,498.000000,530.000000,480.000000,530.000000,530.000000,28568400
2019-08-27,540.000000,540.000000,500.000000,505.000000,505.000000,14698000
2019-08-28,510.000000,510.000000,492.000000,492.000000,492.000000,11054500
2019-08-29,494.000000,505.000000,490.000000,496.000000,496.000000,12901300
2019-08-30,498.000000,500.000000,484.000000,488.000000,488.000000,12311000
